id,parallel_group,lang,source,url,date,headline,lead,llm_label_l1,llm_label_l2,human_label_l1,human_label_l2,flag_pollution,flag_uncertain,annotator_id,notes
KY-F01831,,KY,Azattyk,https://www.azattyk.org/a/2215347.html,2010-11-10,АКШ-Индонезия кызматташуусун жакшыртууда,"АКШ жана Индонезия терроризмге жана климаттын өзгөрүүсүнө каршы күрөштөгү, соодадагы кызматташууну жакшырталы деп макулдашты. Келишим тууралуу АКШ президенти Барак Обама жана Индонезия президенти Сусило Бамбанг Юдхойоно шейшемби күнү Жакартада жар салышты. Бул жөнүндө Барак Обама: ""Эки арадагы...",RELEVANT,POLICY,NOT_RELEVANT,,,,ky_1,
KY-F01822,,KY,Azattyk,https://www.azattyk.org/a/30174769.html,2019-09-20,Климаттын өзгөрүшүнө чара көрүүгө чакырган акцияга Бишкекте уруксат берилген жок,"Бишкекте климаттын өзгөрүшүнө чара көрүүгө чакырган акция-жүрүшкө уруксат берилген жок. Бул тууралуу уюштуруучулар “Твиттердеги” баракчасына жазышты. Калаа мэриясы Биринчи май райондук сотунун 30-сентябрга чейин шаардын борбордук бөлүгүнө чогулууга, митингдин бардык түрүн өткөрүүгө тыюу салган...",RELEVANT,POLICY,RELEVANT,HEALTH_SOCIETY,,,ky_2,"Climate action march denied permit, Bishkek"
KY-R200145,,KY,Azattyk,https://www.azattyk.org/a/28824384.html,2017-10-30,Абанын булганышы рекорддук чекке чыкты,"Метеорология боюнча дүйнөлүк уюмдун маалыматына караганда, көмүр кычкыл газынын (CO2) атмосферадагы концентрациясы акыркы 800 миң жыл ичиндеги эң жогорку деңгээлге чыкты. Метеорология уюмунун журналында 30-октябрда жарыяланган эсептер боюнча 2015-жылы көмүр кычкыл газынын концентрациясы бир...",RELEVANT,SCIENCE_GEN,RELEVANT,SCIENCE_GEN,1,,ky_1,CO2 concentration record high
KY-F02066,,KY,Azattyk,https://www.azattyk.org/a/1272689.html,2007-09-25,БУУда КЛИМАТТЫН ӨЗГӨРҮШҮ БОЮНЧА МАСЕЛЕ КАРАЛУУДА,"Мээрим Султангазы, Нью-Йорк 24-сентябрда Нью Йорк шаарында БУУнун баш кеңсесинде климаттын өзгөрүшүнө арналган жыйын өз ишин баштады. Ага 80ге жакын мамлекеттин башчылары, бардыгы болуп 150дөн ашуун өлкөнүн расмий өкүлдөрү катышты. Жыйында глобалдык жылуулукка себепкер болгон булганыч газдардын көлөмүн кыскартуу боюнча дүйнө лидерлери чечкиндүү кадамдарды жасашы керек экендиги айтылды.",RELEVANT,POLICY,RELEVANT,POLICY,,,ky_2,UN climate change summit New York
KY-F01738,,KY,Azattyk,https://www.azattyk.org/a/27399518.html,2015-12-01,Барак Обама климаттын өзгөрүүсүнө каршы “тикеден тик турууга” чакырды,"Саммитке катышып жаткан дүйнө мамлекеттеринен келген 150 лидерге кайрылган Кошмо Штаттардын президенти Барак Обама,“тикеден тик туруп”, климаттын өзгөрүүсүнө каршы күрөшүүгө үндөдү. 30-ноябрда сүйлөгөн сөзүндө Барак Обама, “кайра калыбына келүүчү энергияны” кеңири колдонууга чакырды. Саммитти...",RELEVANT,POLICY,RELEVANT,POLICY,,,ky_2,"Obama urges climate action, renewables at Paris"
KY-F02141,,KY,Azattyk,https://www.azattyk.org/a/31305157.html,2021-06-13,“Чоң жетинин” лидерлери климаттын өзгөрүшүн талкуулайт,"Британияда өтүп жаткан “Чоң жетинин” саммитинин акыркы күнүндө өлкө лидерлери климаттын өзгөрүшүн талкуулайт. Саммит учурунда натуралист Дэвид Аттенбороу дүйнө лидерлерине кайрылып, адам баласы экологиялык апаатка кабылбашы үчүн шашылыш түрдө чараларды көрүшү керектигин эскерткен. “Чоң жетиге”...",RELEVANT,POLICY,RELEVANT,POLICY,,,ky_2,G7 leaders discuss climate change
KY-F02352,,KY,Azattyk,https://www.azattyk.org/a/24468350.html,2012-01-31,Бишкекте экологиялык коопсуздук жөнүндө жазган журналисттердин жыйыны өтөт,"Бишкекте ""Жалпыга маалымдоо каражаттарында экологиялык коопсуздукту жана климаттын өзгөрүшүн чагылдыруу"" эл аралык конференциясы өтөт. Ага кыргызстандык журналисттер менен катар Германия, Орусия, Казакстан жана Өзбекстандан келген адистер катышат. Борбор Азиядагы айлана чөйрөнү коргоо...",RELEVANT,OTHER_CLIMATE,RELEVANT,SCIENCE_GEN,,,gold,IAA adjudicated gold
KY-F00833,,KY,Azattyk,https://www.azattyk.org/a/31541286.html,2021-11-02,Садыр Жапаров: Климаттын өзгөрүшүнө ыңгайлашууга 3 млрд. доллар керек,"Климаттын өзгөрүшүнө ыңгайлашуу үчүн Кыргызстанга 3 млрд. АКШ доллары керек. Бул тууралуу өлкө президенти Садыр Жапаров Шотландиянын Глазго шаарында өтүп жаткан климаттын өзгөрүшүнө арналган COP26 саммитинде 2-ноябрда сүйлөгөндө айтты. Ал мөңгүлөрдү сактап калуу маселесин козгоп, Кыргызстан...",RELEVANT,POLICY,RELEVANT,POLICY,,,ky_1,"Adaptation finance needed, COP26"
KY-F00358,,KY,Azattyk,https://www.azattyk.org/a/2289041.html,2011-01-27,Кытай жаңы технологияга акча аябайт,"Кытай экологиялык таза энергияны жана башка алдыңкы технологиялык өнөр жай тармагын өнүктүрүүгө багыт алууда. Ырасмий маалыматтар боюнча, гранттар жана башка өкмөттүк колдоолор эң алды энергияны үнөмдөөчү технологияларга, шамалдын жана күндүн кубатын пайдаланган технологияларга, күйүүчү май...",RELEVANT,ENERGY,RELEVANT,ENERGY,,,ky_2,"China clean energy, wind/solar tech"
KY-F01216,,KY,Azattyk,https://www.azattyk.org/a/27802045.html,2016-06-16,Нарын дарыясындагы суунун деңгээли болуп көрбөгөндөй көбөйдү,Нарын дарыясындагы суунун деңгээли коркунучтуу чекке жетти. Бул тууралуу Өзгөчө кырдаалдар министрлигинин Нарын облустук башкармалыгынын башчысынын орун басары Дөөлөтбек Ибраев билдирди. Анын айтымында 13-14-июнь күндөрү жааган жамгыр бийик тоодогу мөңгүнүн эришин тездеткен. Мындан улам Нарын...,RELEVANT,WATER_CRYO,RELEVANT,DISASTER,,1,ky_2,"Naryn river dangerously high, glacier melt"
