id,parallel_group,lang,source,url,date,headline,lead,llm_label_l1,llm_label_l2,human_label_l1,human_label_l2,flag_pollution,flag_uncertain,annotator_id,notes
KK-D01011,,KK,Egemen,https://egemen.kz/article/270876-balqash-koli-aral-taghdyryn-qaytalamaydy-–-ekologiya-ministrligi,2021-04-07,Балқаш көлі Арал тағдырын қайталамайды – экология министрлігі,"Бүгін Орталық коммуникациялар қызметінде өткен брифинг барысында Экология, геология және табиғи ресурстар вице-министрі Серік Қожаниязов Балқаш көліндегі",RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,gold,IAA adjudicated gold
KK-A00345,,KK,Azattyq,https://www.azattyq.org/a/1796024.html,2009-08-10,Ресейлік ғалымдар Арал теңізін зерттеуге аттанбақ,Бүгін Ресей Ғылым академиясы океанология институтының экспедициясы Арал теңізінің экологиялық жағдайын зерттеуге аттанбақ. Экспедиция жұмысы 1-қыркүйекте аяқталады. «Біз Аралды зерттеумен нақты айналысудамыз. 10-тамыз күні ол жаққа аттанатын біздің экспедиция теңіздің суы бар бөлігіндегі...,RELEVANT,WATER_CRYO,NOT_RELEVANT,,,1,kk_1,"Aral research expedition, no scarcity frame"
KK-C00260,,KK,Egemen,https://egemen.kz/article/226315-manhghystauda-zher-saghaty-2020-khalyqaralyq-aktsiyasy-otti,2020-03-29,Маңғыстауда «Жер сағаты - 2020» халықаралық акциясы өтті,"Ғаламдық бастамаға айналған шара Ақтау және Жаңаөзен қалалары, сонымен қатар Түпқараған, Бейнеу, Маңғыстау, Қарақия мен Мұнайлы аудандарында өтті.",RELEVANT,SCIENCE_GEN,RELEVANT,SCIENCE_GEN,,1,kk_2,Mangystau Earth Hour; climate not explicit
KK-D01435,,KK,Egemen,https://egemen.kz/article/315851-aptaptynh-azabyn-tartqan-adamzat,2022-06-19,Аптаптың азабын тартқан адамзат,"Биыл күн райы күрт ысып, шартараптың түкпір-түкпіріндегі тұрғындарды әбігерге салды. Мәселен, наурызда оңтүстік полюсте бұрын-соңды кездеспеген",RELEVANT,SCIENCE_GEN,RELEVANT,DISASTER,,,gold,IAA adjudicated gold
KK-A00179,,KK,Azattyq,https://www.azattyq.org/a/27491341.html,2016-01-16,Парник газын бөлудің төрт жылдық квотасы белгіленді,"Қазақстанда парник газын шығаруға квоталар бөлудің 2016-2020 жылдарға арналған ұлттық жоспары бекітілді. Бұл туралы үкімет қаулысы бүгін ресми баспасөзде жарияланды. Қаулыда биыл қаңтардың 1-інен бастап күшіне енген ұлттық жоспар Қазақстан экологиялық кодексіне, үкіметтің 2012 жылғы 7...",RELEVANT,POLICY,RELEVANT,POLICY,,,kk_2,Greenhouse gas emission quotas national plan
KK-D02577,,KK,Egemen,https://egemen.kz/article/173372-araldy-qutqaru-elbasy-tamshylatyp-suaru-siyaqty-zamanaui-tekhnologiyanynh-manhyz,2018-08-24,Аралды құтқару: Елбасы тамшылатып суару сияқты заманауи технологияның маңыздылығын атап өтті,Мемлекет басшысы Халықаралық Аралды құтқару қорының құрылтайшы мемлекеттерінің басшылары отырысының қорытындысы бойынша бірлескен баспасөз мәслихатын,RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,kk_1,"saving Aral, drip irrigation tech"
KK-A00268,,KK,Azattyq,https://www.azattyq.org/a/1171921.html,2007-03-13,Көмек-қолдау ұйымдары Балқашта Арал теңізіндегі сияқты апатты болдырмау жолында жұмыс істеуде,"Европа одағының ресмилері мен халықаралық негізгі ұйымдар Қазақстанда бас қосып, әлемдегі ең үлкен көлдің бірі Балқашты мүмкін болғалы тұрған экологиялық апаттан сақтап қалу мақсатында қаржыландыру жолдарын қарастырмақшы.",RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,kk_1,prevent Balkhash Aral-like catastrophe
KK-00005,,KK,Egemen,https://egemen.kz/article/408169-klimattyq-ozgerister-ortalyq-aziya-elderininh-ekonomikasyna-qalay-aser-etip-dgat,2026-03-03,Климаттық өзгерістер Орталық Азия елдерінің экономикасына қалай әсер етіп жатыр?,"Климаттық өзгерістер Орталық Азия елдерінің экономикаларына барған сайын қаттырақ әсер етіп, тасқын, құрғақшылық, аптап ыстық пен басқа да табиғат",RELEVANT,SCIENCE_GEN,RELEVANT,SCIENCE_GEN,,,kk_2,Climate change impacts on Central Asia economy
KK-C00014,,KK,Egemen,https://egemen.kz/article/404652-5-dgyl-ishinde-soltustik-araldynh-kolemi-qanshalyqty-ulghayady,2026-01-21,5 жыл ішінде Солтүстік Аралдың көлемі қаншалықты ұлғаяды?,"Солтүстік Арал теңізінің ауданын 34 км³ дейін, ал оның аумағын 4-5 жыл ішінде 3 913 км² дейін жеткізу жоспарланып жатыр, деп",RELEVANT,WATER_CRYO,RELEVANT,WATER_CRYO,,,kk_1,North Aral expansion plan
KK-00743,,KK,Egemen,https://egemen.kz/article/412777-biyl-almatygha-gazben-dguretin-500-avtobus-pen-elektrobus-satyp-alynady,2026-05-16,Биыл Алматыға газбен жүретін 500 автобус пен электробус сатып алынады,"Бүгін Алматыда автобус парктеріне қоғамдық көлікке қойылатын экологиялық талаптар түсіндірілді, деп хабарлайды Egemen.kz .",RELEVANT,ENERGY,RELEVANT,ENERGY,,1,kk_1,"electrobuses, transport emissions"
