id,lang,split,l1,l2,text
RU-D02137,RU,train,RELEVANT,ENERGY,Ветровую электростанцию ”Астана EXPO-2017” обещали вывести на полную мощность: 23 сентября 2020 15:33 - новости на Tengrinews.kz Tengrinews.kz ▶ Ветровую электростанцию ”Астана EXPO-2017” обещали вывести на полную мощность: 23 сентября 2020 15:33 ▶ Читать подробнее актуальные новости и события на сайте.
RU-D01437,RU,train,RELEVANT,SCIENCE_GEN,"Климат меняется быстрее, чем мы ожидали - Казгидромет Темпы изменения климата в стране превышают ожидания синоптиков и метеорологов. Об сообщили в ""Казгидромете"", передает корреспондент Tengrinews.kz."
RU-C00449,RU,train,RELEVANT,SCIENCE_GEN,"Изменения климата: проблема, от которой нельзя отгородиться Изменения климата: проблема, от которой нельзя отгородитьсяВопросы экономического, политического или военного кризиса привлекают всеобщее внимание. А вот вопросы экологии, изменения климата,"
RU-D05904,RU,train,RELEVANT,ENERGY,"В Казахстане построят одну из крупнейших солнечных электростанций В сельском округе Орангай Сауранского района Туркестанской области началось строительство крупной солнечной электростанции (СЭС) мощностью 300 мегаватт, состоялась церемония закладки временной капсулы. Об этом сообщили в акимате региона."
RU-D01621,RU,train,RELEVANT,SCIENCE_GEN,"ПРООН предложила детям поиграть в борьбу с изменением климата. Онлайн По мере распространения пандемии COVID-19 миллионы людей столкнулись с закрытием школ и учреждений, что привело к появле"
RU-D01497,RU,train,RELEVANT,SCIENCE_GEN,Трамп снова посмеялся над глобальным потеплением: 20 января 2019 22:35 - новости на Tengrinews.kz Tengrinews.kz ▶ Трамп снова посмеялся над глобальным потеплением: 20 января 2019 22:35 ▶ Читать подробнее актуальные новости и события на сайте.
RU-D01928,RU,train,NOT_RELEVANT,,"Бул жай кандай болорун климатологдор алдын ала айтышты Адистер быйылкы кыш жылуу болуп, кар аз жаагандыктан дүйнөнүн көп жеринде кургакчылык өкүм сүрүшү мүмкүн деген божомолун айтууда."
RU-00029,RU,train,RELEVANT,HEALTH_SOCIETY,Почти 900 млн человек в мире страдают от бедности и последствий изменения климата — ООН 651 миллион человек одновременно подвержены риску двух и более климатических угроз. Ещё 309 миллионов живут в условиях сразу трёх или четырёх факторов риска.
RU-D02642,RU,train,RELEVANT,SCIENCE_GEN,"Климаттын өзгөрүшү боюнча жакшы кабар бар. Окумуштуулардын соңку иликтөөсү Климаттык миңден ашык изилдөөлөрдүн жыйынтыгы адам баласы экологиялык кризис менен баары бир күрөшө аларын көрсөткөн, адистер бирок аны менен токтоп калбаш керектигин эскертүүдө."
RU-D00383,RU,train,RELEVANT,WATER_CRYO,Мөңгү 16%га кыскарды. Садыр Жапаров дүйнө лидерлерине коңгуроо какты Иш-чара Азербайжандын борбору Баку шаарында өтүүдө.
RU-D02563,RU,train,RELEVANT,DISASTER,Более 70 слонов погибли из-за засухи в Кении: 20 мая 2022 10:05 - новости на Tengrinews.kz Tengrinews.kz ▶ Более 70 слонов погибли из-за засухи в Кении: 20 мая 2022 10:05 ▶ Читать подробнее актуальные новости и события на сайте.
RU-D04501,RU,train,RELEVANT,HEALTH_SOCIETY,"1-й Молодежный климатический форум - в АУЦА 30 ноября 1-й Молодежный климатический форум – это первое масштабное мероприятие, посвященное изменениям климата, вопросам сохране"
RU-D04293,RU,train,RELEVANT,WATER_CRYO,Грустная красота Аральского моря: 14 июля 2016 11:16 - новости на Tengri Life Tengrinews.kz ▶ Грустная красота Аральского моря: 14 июля 2016 11:16 ▶ Читать подробнее актуальные новости и события на сайте.
RU-D01054,RU,train,RELEVANT,WATER_CRYO,"""Соседи себя ограничили, но воду нам дали"". Министр экологии РК подвел итоги 2021 года Министр экологии, геологии и природных ресурсов Казахстана отчитался об итогах работы своего ведомства. Среди основных достижений - успешные переговоры с соседями о выделении дополнительной поливной воды в ущерб им самим. Догадываетесь, о ком речь?"
RU-D04687,RU,train,RELEVANT,WATER_CRYO,"Скандалом закончился круглый стол по спасению ледников в Кыргызстане. Видео Вице-премьер-министр Зилалиев и активисты поспорили о том, можно ли вести разработку на ледниках."
RU-D04430,RU,train,RELEVANT,WATER_CRYO,Экологи рассказали о тяжелых последствиях обмеления Урала: 20 октября 2021 09:58 - новости на Tengrinews.kz Tengrinews.kz ▶ Экологи рассказали о тяжелых последствиях обмеления Урала: 20 октября 2021 09:58 ▶ Читать подробнее актуальные новости и события на сайте.
RU-D05844,RU,train,RELEVANT,WATER_CRYO,"Как порядок в животноводстве связан с сохранением ледников. Объясняем ""Спасем ледники"". Новое движение Министерства сельского хозяйства."
RU-C00295,RU,train,RELEVANT,SCIENCE_GEN,Глобальное потепление - это фальсификация? Задается вопросом Глобальное потепление - это фальсификация? Задается вопросомThe Guardian (Великобритания). Опубликованные недавно электронные письма из Университета Восточной Англии подрывают репутацию неск
RU-D01426,RU,train,RELEVANT,ENERGY,Эффективные меры по снижению углеродного следа локомотивов принимают в ҚТЖ: 13 октября 2021 21:30 - новости на Tengrinews.kz Tengrinews.kz ▶ Эффективные меры по снижению углеродного следа локомотивов принимают в ҚТЖ: 13 октября 2021 21:30 ▶ Читать подробнее актуальные новости и события на сайте.
RU-C00225,RU,train,RELEVANT,WATER_CRYO,"США помогут Таджикистану в изучении ледников Памира, рассказывает США помогут Таджикистану в изучении ледников Памира, рассказывает«Голос России». США предложили Таджикистану помощь в изучении ледников Памира. В Душанбе инициативой американцев"
RU-D04879,RU,train,RELEVANT,DISASTER,Искусственные дожди для борьбы с сильной засухой вызывают в Китае: 18 августа 2022 13:48 - новости на Tengrinews.kz Tengrinews.kz ▶ Искусственные дожди для борьбы с сильной засухой вызывают в Китае: 18 августа 2022 13:48 ▶ Читать подробнее актуальные новости и события на сайте.
RU-C00750,RU,train,RELEVANT,POLICY,"Туркменистан инициирует новые резолюции по энергетике, транспорту и изменению климата на Генассамблее ООН в Нью-Йорке Президент Сердар Бердымухамедов примет участие и в саммите в формате Центральная Азия–США"
RU-D05675,RU,train,RELEVANT,WATER_CRYO,"Объем воды увеличился в Аральском море В северной части Аральского моря увеличился объем воды. Об этом сообщили в министерстве водных ресурсов и ирригации, передает корреспондент Tengrinews.kz."
RU-D03263,RU,train,RELEVANT,WATER_CRYO,"Прорыв Такыр-Тора. Озеро вышло из берегов из-за таяния ледников Специалист МЧС пояснил, почему озеро Такыр-Тор вышло из берегов."
RU-C00699,RU,train,RELEVANT,ENERGY,Ашхабад и Лондон готовы к партнерству в энергетике и экологии Британские компании недавно ознакомили с потенциалом «зеленых» проектов
RU-00114,RU,train,RELEVANT,POLICY,"Шавкат Мирзиёев обратился к участникам 29-го Евразийского экономического саммита Было отмечено, что одна из ключевых тем нынешнего Саммита — глобальная ответственность в условиях дефицита водных и зелёных ресурсов — сегодня особенно актуальна. Ведь мир сталкивается с нарастающими климатическими вызовами, включая опустынивание, деградацию земель, дефицит воды и ухудшение экологической ситуации."
RU-C00291,RU,train,RELEVANT,AGRI_LAND,"О последствиях климатических изменений пишет О последствиях климатических изменений пишетLa Stampa (Италия). Наводнения уничтожают урожай в Австралии, засуха терзает Северную Европу, растут цены на зерно, дорожает хлеб, ухудшается поло"
RU-D02477,RU,train,RELEVANT,AGRI_LAND,"Засуха в Жамбылской области. Смаилов пообещал аграриям возместить убытки Премьер-министр Алихан Смаилов сообщил фермерам Жамбылской области, что им возместят ущерб, который они понесли из-за засухи, передает Tengrinews.kz со ссылкой на сайт правительства."
RU-C00456,RU,train,RELEVANT,POLICY,Узбекистан вдвое сократит выбросы вредных газов в атмосферу к 2035 году Это обязательство Узбекистан взял на себя на климатической конференции COP-30 в Бразилии в рамках Парижского соглашения. В этом направлении совместно с Всемирным банком запущен первый в мире инновационный проект ICRAFT.
RU-D00507,RU,train,RELEVANT,POLICY,Билл Гейтс привлек сотни миллионов на борьбу с изменением климата: 21 сентября 2021 16:22 - новости на Tengrinews.kz Tengrinews.kz ▶ Билл Гейтс привлек сотни миллионов на борьбу с изменением климата: 21 сентября 2021 16:22 ▶ Читать подробнее актуальные новости и события на сайте.
RU-D00752,RU,train,RELEVANT,DISASTER,Мегазасуха на юго-западе США оказалась самой сильной за тысячелетие: 16 февраля 2022 16:09 - новости на Tengrinews.kz Tengrinews.kz ▶ Мегазасуха на юго-западе США оказалась самой сильной за тысячелетие: 16 февраля 2022 16:09 ▶ Читать подробнее актуальные новости и события на сайте.
RU-D00014,RU,train,RELEVANT,WATER_CRYO,Обмеление Каспийского моря объяснили в Минэкологии: 13 апреля 2023 15:05 - новости на Tengrinews.kz Tengrinews.kz ▶ Обмеление Каспийского моря объяснили в Минэкологии: 13 апреля 2023 15:05 ▶ Читать подробнее актуальные новости и события на сайте.
RU-C00592,RU,train,RELEVANT,ENERGY,"Проблему чистой воды в одном из сел Иссык-Куля решили с помощью солнечных батарей Проблему чистой воды в одном из сел Иссык-Куля решили с помощью солнечных батарейВ селе Оттук Тонского района Иссык-Кульской области на водозаборе установили солнечные батареи, обеспечивающи"
RU-D04142,RU,train,RELEVANT,ENERGY,На Иссык-Куле началось строительство крупной солнечной станции В селе Тору-Айгыр началось строительство первой солнечной станции мощностью 300 мегаватт.
RU-D03786,RU,train,RELEVANT,ENERGY,"""Бишкектеплоэнерго"" впервые установило солнечные коллекторы. Фото Сегодня, 22 сентября, на территории КП ""Бишкектеплоэнерго"" состоялась презентация гелиоколлекторов. Об этом сообщает пресс-служба столичной мэрии."
RU-D05948,RU,train,RELEVANT,SCIENCE_GEN,"ООН: Человечество стремительно приближается к ""экологической точке невозврата"" ЮНЕП предупреждает: промедление с реформами может стоить планете будущего. Подробнее:"
RU-D02628,RU,train,RELEVANT,WATER_CRYO,Тающий ледник сместил границу между Швейцарией и Италией: 27 июля 2022 13:19 - новости на Tengrinews.kz Tengrinews.kz ▶ Тающий ледник сместил границу между Швейцарией и Италией: 27 июля 2022 13:19 ▶ Читать подробнее актуальные новости и события на сайте.
RU-D03704,RU,train,RELEVANT,ENERGY,Глава ”Самрук-Қазына” рассказал о путях достижения углеродной нейтральности: 14 октября 2021 15:58 - новости на Tengrinews.kz Tengrinews.kz ▶ Глава ”Самрук-Қазына” рассказал о путях достижения углеродной нейтральности: 14 октября 2021 15:58 ▶ Читать подробнее актуальные новости и события на сайте.
RU-00572,RU,train,RELEVANT,WATER_CRYO,ООН поддерживает усилия по сохранению водных ресурсов в Узбекистане Соответствующий проект финансирует Швейцарское агентство по развитию и сотрудничеству
RU-D01267,RU,train,RELEVANT,SCIENCE_GEN,Климатолог предупредил о росте частоты наводнений в мире: 21 июля 2021 01:49 - новости на Tengrinews.kz Tengrinews.kz ▶ Климатолог предупредил о росте частоты наводнений в мире: 21 июля 2021 01:49 ▶ Читать подробнее актуальные новости и события на сайте.
RU-C00529,RU,train,NOT_RELEVANT,,На дне Арала пройдет марафон Главная цель — привлечь внимание мирового сообщества к экологическим проблемам
RU-C00407,RU,train,RELEVANT,WATER_CRYO,Казахстан очистит Коксарайский гидроузел для наполнения Аральского моря Ведется очистка объекта от ила и песка с применением специальной техники. Весной начнется сброс воды из Коксарайского контррегулятора в нижнее течение реки Сырдарьи для наполнения Аральского моря.
RU-D01367,RU,train,RELEVANT,SCIENCE_GEN,"Жара станет новой нормой? Опубликован тревожный климатический прогноз В ближайшие пять лет средняя температура на Земле, вероятнее всего, останется на рекордном уровне. Ученые ожидают дальнейшего потепления, сокращения арктического льда и изменения режима осадков в разных регионах мира."
RU-D01887,RU,train,RELEVANT,POLICY,Садыр Жапаров и Айгуль Жапарова на открытии конференции по изменению климата в Баку (фото) На конференцию сторон Рамочной конвенции ООН по изменению климата в Азербайджан приехали более 50 тыс. участников и ста лидеров государств мира. Подробнее:
RU-D03102,RU,train,RELEVANT,POLICY,Изменения климата представляют угрозу США и миру - Байден: 08 сентября 2021 08:03 - новости на Tengrinews.kz Tengrinews.kz ▶ Изменения климата представляют угрозу США и миру - Байден: 08 сентября 2021 08:03 ▶ Читать подробнее актуальные новости и события на сайте.
RU-D04871,RU,train,RELEVANT,POLICY,"Недобросовестные инвесторы, климат, демократия. Главное из речи Садыра Жапарова в ООН На открывшейся вчера 76-й сессии Генеральной ассамблеи ООН к ее участникам обратился Садыр Жапаров. Какие вопросы поднял в своем выступлении президент? Рассказываем главное."
RU-C00328,RU,train,RELEVANT,ENERGY,В Узбекистане обнаружили самый крупный в мире источник выброса метана Метан удерживает в атмосфере Земли тепло
RU-D03903,RU,train,RELEVANT,WATER_CRYO,"""Очень страшно"". Экологи оценили состояние Каспийского моря Мангистауские экологи считают, что Казахстан и Россия должны прийти к соглашению для направления обильных вод в Каспийское море, передает Tengrinews.kz."
RU-D03678,RU,train,RELEVANT,ENERGY,Почему автомобильная отрасль может стать частью низкоуглеродного будущего: 29 февраля 2024 13:00 - новости на Tengriauto.kz Tengrinews.kz ▶ Почему автомобильная отрасль может стать частью низкоуглеродного будущего: 29 февраля 2024 13:00 ▶ Читать подробнее актуальные новости и события на сайте.
RU-D04717,RU,train,RELEVANT,SCIENCE_GEN,"Европу призвали готовиться к экстремальному климату 2024 год в Европе был жарче, чем когда-либо прежде, что вызывает тревогу. Но есть и положительные факторы, говорится в новом климатическом отчете программы Copernicus."
RU-D04146,RU,train,RELEVANT,SCIENCE_GEN,"Изменение климата в Казахстане: министр оценил масштабы угрозы Министр экологии и природных ресурсов Ерлан Нысанбаев высказался об изменении климата в мире и в Казахстане, из-за которого казахстанцы наблюдают нетипичную для сезона погоду, передает корреспондент Tengrinews.kz."
RU-D02584,RU,train,RELEVANT,POLICY,"Всемирный банк назвал ключевую проблему в борьбе с климатическими бедствиями в Кыргызстане Кыргызстан испытывает дефицит средств для борьбы с климатическими бедствиями, считают во Всемирном банке. Подробности:"
RU-D03560,RU,train,RELEVANT,HEALTH_SOCIETY,"1-й Молодежный климатический форум КР: информативный, экологичный, эмпирический 30 ноября в АУЦА прошел Первый молодежный форум по вопросам изменения климата."
RU-D01839,RU,train,RELEVANT,WATER_CRYO,"В Бишкеке представили фильм о таянии ледников Ала-Тоо 26 февраля в Американском университете Центральной Азии состоялся премьерный показ документального фильма ""Ала-Тоо: вслед за исчезающими ледниками""."
