id,parallel_group,lang,source,url,date,headline,lead,llm_label_l1,llm_label_l2,human_label_l1,human_label_l2,flag_pollution,flag_uncertain,annotator_id,notes
UZ-D05168,,UZ,Daryo.uz,https://daryo.uz/2015/12/03/hindistonga-iqlim-ozgarishi-oqibatlariga-qarshi-kurashish-uchun-2030-yilgacha-1-trln-dollar-kerak-boladi/,2015-12-03,Hindistonga iqlim o‘zgarishi oqibatlariga qarshi kurashish uchun 2030-yilgacha 1 trln dollar kerak bo‘ladi,O‘rtacha yillik haroratning Selsiy o‘lchami bilan ikki darajaga oshishini 800 million hindistonlik sezib ulgurdi,RELEVANT,POLICY,RELEVANT,POLICY,,,uz_1,Climate adaptation finance needs
UZ-D04674,,UZ,Daryo.uz,https://daryo.uz/uz/2023/11/13/ozbekiston-delegatsiyasi-iqlim-ozgarishlariga-qarshi-kurashish-sohasidagi-harakatlar-boyicha-jahon-sammitida-ishtirok-etadi/,2023-11-13,Ўзбекистон делегацияси Иқлим ўзгаришларига қарши курашиш соҳасидаги ҳаракатлар бўйича жаҳон саммитида иштирок этади,"Унда Ўзбекистон миллий, минтақавий ва глобал даражада иқлим ўзгаришига қарши курашни кучайтириш юзасидан қатор таклиф ва ташаббусларни илгари суради",RELEVANT,POLICY,RELEVANT,POLICY,,,uz_2,Delegation at global climate summit
UZ-D00101,,UZ,Kun.uz,https://kun.uz/en/news/2025/04/08/massive-solar-power-projects-set-for-karakalpakstan-and-jizzakh,,Massive solar power projects set for Karakalpakstan and Jizzakh,"Investment agreements have been signed between ISSV, SANY Renewables International Investment Co., Ltd., and China’s Liquip International for the construction of large-scale renewable energy facilities in Uzbekistan.",RELEVANT,ENERGY,RELEVANT,ENERGY,,,uz_2,solar power projects Karakalpakstan Jizzakh
UZ-C01496,,UZ,Kun.uz,https://kun.uz/ru/news/2024/08/20/na-smyagcheniye-posledstviy-izmeneniya-klimata-v-priarale-napravyat-80-mln-dollarov,,На смягчение последствий изменения климата в Приаралье направят 80 млн долларов,В рамках программы адаптации сельского хозяйства к изменениям климата для региона Приаралья в Узбекистане выделят 80 млн долларов,RELEVANT,AGRI_LAND,RELEVANT,POLICY,,,uz_1,$80M Aral climate adaptation
UZ-D05425,,UZ,Kun.uz,https://kun.uz/ru/news/2019/09/23/mir-na-poroge-katastrofy-v-oon-predupredili-o-posledstviyax-globalnogo-potepleniya,,«Мир – на пороге катастрофы»: в ООН предупредили о последствиях глобального потепления,Организация объединенных наций (ООН) предупредила о приближении всемирной катастрофы из-за глобального потепления.,RELEVANT,POLICY,RELEVANT,SCIENCE_GEN,,,uz_2,UN warns of global warming
UZ-00037,,UZ,Kun.uz,https://kun.uz/news/2025/02/24/iqlim-ozgarishi-milliy-markaziga-direktor-tayinlandi,2025-02-24,Iqlim o‘zgarishi milliy markaziga direktor tayinlandi,"U tayinlovga qadar Ekologiya, atrof-muhitni muhofaza qilish va iqlim o‘zgarishi vazirligining «Ekologik siyosat» departamenti boshlig‘i lavozimida faoliyat yuritgan.",RELEVANT,POLICY,RELEVANT,POLICY,,1,uz_1,climate center director appointment
UZ-D03604,,UZ,Daryo.uz,https://daryo.uz/2021/02/11/ozbekistonda-iqlim-ozgarishiga-qarshi-strategiya-ishlab-chiqiladi/,2021-02-11,O‘zbekistonda iqlim o‘zgarishiga qarshi strategiya ishlab chiqiladi,Strategiyani amalga oshirish uchun 2021-yilning 1-sentabriga qadar Prezident qarori loyihasi ishlab chiqiladi,RELEVANT,POLICY,RELEVANT,POLICY,,,uz_1,National climate strategy
UZ-D02048,,UZ,Kun.uz,https://kun.uz/news/2023/01/05/germaniya-iqlim-boyicha-maqsadlardan-orqada-qolyapti,,Germaniya iqlim bo‘yicha maqsadlardan orqada qolyapti,2022 yilda Germaniyada karbonat angidrid gazining atmosferaga chiqarilishi deyarli kamaymadi. Bu ko‘mir va neftdan foydalanishning kuchayishi bilan bog‘liq.,RELEVANT,POLICY,RELEVANT,ENERGY,,,gold,IAA adjudicated gold
UZ-D01284,,UZ,Daryo.uz,https://daryo.uz/2019/02/22/orol-dengizining-363-ming-gektar-qurigan-maydoniga-saksovul-ekildi/,2019-02-22,Orol dengizining 363 ming gektar qurigan maydoniga saksovul ekildi,"Yana 917,2 ming gektar yer ekishga tayyorlangan",RELEVANT,WATER_CRYO,RELEVANT,AGRI_LAND,,1,uz_2,Saxaul planted on dried Aral bed
UZ-D02447,,UZ,Daryo.uz,https://daryo.uz/uz/2025/05/28/ozbekistonda-yashil-iqlim-jamgarmasining-mintaqaviy-vakolatxonasi-ochilishi-mumkin/,2025-05-28,Ўзбекистонда Яшил иқлим жамғармасининг минтақавий ваколатхонаси очилиши мумкин,Абдулла Арипов Яшил иқлим жамғармаси ижрочи директори Мафалда Дуарте билан учрашув ўтказди,RELEVANT,POLICY,RELEVANT,POLICY,,,uz_2,Green Climate Fund office may open
