id,parallel_group,lang,source,url,date,headline,lead,llm_label_l1,llm_label_l2,human_label_l1,human_label_l2,flag_pollution,flag_uncertain,annotator_id,notes
RU-D02137,,RU,Tengrinews,https://tengrinews.kz/kazakhstan_news/vetrovuyu-elektrostantsiyu-astana-expo-2017-obeschali-414958/,2020-09-23,Ветровую электростанцию ”Астана EXPO-2017” обещали вывести на полную мощность: 23 сентября 2020 15:33 - новости на Tengrinews.kz,Tengrinews.kz ▶ Ветровую электростанцию ”Астана EXPO-2017” обещали вывести на полную мощность: 23 сентября 2020 15:33 ▶ Читать подробнее актуальные новости и события на сайте.,RELEVANT,ENERGY,RELEVANT,ENERGY,,,ru_2,wind power plant capacity
RU-D01437,,RU,Tengrinews,https://tengrinews.kz/kazakhstan_news/klimat-menyaetsya-byistree-chem-myi-ojidali-kazgidromet-545172/,2024-08-19,"Климат меняется быстрее, чем мы ожидали - Казгидромет","Темпы изменения климата в стране превышают ожидания синоптиков и метеорологов. Об сообщили в ""Казгидромете"", передает корреспондент Tengrinews.kz.",RELEVANT,SCIENCE_GEN,RELEVANT,SCIENCE_GEN,,,ru_1,climate changing faster than expected
RU-D04617,,RU,Kaktus,https://kaktus.media/doc/473177_kazahstan_i_kyrgyzstan_hotiat_postroit_solnechnyu_stanciu_v_nashey_strane._gde_imenno.html,2022-12-28,Казахстан и Кыргызстан хотят построить солнечную станцию в нашей стране. Где именно?,Держите еще один масштабный проект - Кыргызстан и Казахстан договорились построить солнечную электростанцию на территории нашей страны. Подробнее:,RELEVANT,ENERGY,RELEVANT,ENERGY,,,gold,IAA adjudicated gold
RU-C00449,,RU,24.kg,https://24.kg/archive/ru/community/68917-izmeneniya-klimata-problema-ot-kotoroj-nelzya.html/,2010-02-05,"Изменения климата: проблема, от которой нельзя отгородиться","Изменения климата: проблема, от которой нельзя отгородитьсяВопросы экономического, политического или военного кризиса привлекают всеобщее внимание. А вот вопросы экологии, изменения климата,",RELEVANT,OTHER_CLIMATE,RELEVANT,SCIENCE_GEN,,,ru_2,climate change awareness
RU-D05904,,RU,Tengrinews,https://tengrinews.kz/kazakhstan_news/kazahstane-postroyat-odnu-krupneyshih-solnechnyih-588105/,2025-12-15,В Казахстане построят одну из крупнейших солнечных электростанций,"В сельском округе Орангай Сауранского района Туркестанской области началось строительство крупной солнечной электростанции (СЭС) мощностью 300 мегаватт, состоялась церемония закладки временной капсулы. Об этом сообщили в акимате региона.",RELEVANT,ENERGY,RELEVANT,ENERGY,,,ru_1,large solar plant Kazakhstan
RU-D01621,,RU,Kaktus,https://kaktus.media/doc/411464_proon_predlojila_detiam_poigrat_v_borby_s_izmeneniem_klimata._onlayn.html,2020-04-22,ПРООН предложила детям поиграть в борьбу с изменением климата. Онлайн,"По мере распространения пандемии COVID-19 миллионы людей столкнулись с закрытием школ и учреждений, что привело к появле",RELEVANT,OTHER_CLIMATE,RELEVANT,SCIENCE_GEN,,1,ru_1,UNDP climate game for children
RU-D04465,,RU,Kaktus,https://kaktus.media/doc/513758_ispaniia_vvodit_oplachivaemye_klimaticheskie_otpyska.html,2024-11-29,"Испания вводит оплачиваемые ""климатические отпуска""",Работники в Испании могут взять до четырех дней оплачиваемого отпуска в случае чрезвычайных погодных условий. Подробнее:,RELEVANT,POLICY,RELEVANT,POLICY,,,ru_2,Spain climate leave law
RU-D01497,,RU,Tengrinews,https://tengrinews.kz/usa/tramp-snova-posmeialsia-nad-globalnym-potepleniem-361694/,2019-01-20,Трамп снова посмеялся над глобальным потеплением: 20 января 2019 22:35 - новости на Tengrinews.kz,Tengrinews.kz ▶ Трамп снова посмеялся над глобальным потеплением: 20 января 2019 22:35 ▶ Читать подробнее актуальные новости и события на сайте.,RELEVANT,POLICY,RELEVANT,SCIENCE_GEN,,1,ru_2,Trump mocked global warming
RU-D01928,,RU,Sputnik,https://sputnik.kg/20200224/klimat-aba-yrayy-klimatolog-aldyn-ala-bildiruu-1047163452.html,,Бул жай кандай болорун климатологдор алдын ала айтышты,"Адистер быйылкы кыш жылуу болуп, кар аз жаагандыктан дүйнөнүн көп жеринде кургакчылык өкүм сүрүшү мүмкүн деген божомолун айтууда.",RELEVANT,SCIENCE_GEN,NOT_RELEVANT,,,,gold,IAA adjudicated gold
RU-00029,,RU,Daryo.uz,https://daryo.uz/ru/2025/10/18/pochti-900-mln-chelovek-v-mire-stradayut-ot-bednosti-i-posledstviy-izmeneniya-klimata-oon/,2025-10-18,Почти 900 млн человек в мире страдают от бедности и последствий изменения климата — ООН,651 миллион человек одновременно подвержены риску двух и более климатических угроз. Ещё 309 миллионов живут в условиях сразу трёх или четырёх факторов риска.,RELEVANT,HEALTH_SOCIETY,RELEVANT,HEALTH_SOCIETY,,,gold,IAA adjudicated gold
